evidence_1,evidence_2,evidence_3,evidence_4,evidence_5,evidence_6,evidence_7,evidence_8,evidence_9,evidence_10,evidence_11,evidence_12
9.52E-01,9.46E-01,9.43E-01,8.86E-01,2.76E-01,5.12E-03,1.35E-05,5.25E-08,1.45E-10,4.65E-13,2.87E-15,2.94E-17
3.79E-08,7.76E-07,6.38E-04,3.95E-01,9.96E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.77E-01,9.97E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.97E-01,8.48E-01,5.48E-02,2.72E-10,2.15E-17,1.07E-22,3.38E-26,1.98E-28,7.99E-30,2.71E-30,9.00E-30,3.24E-29
1.32E-01,1.20E-01,1.76E-02,3.76E-04,1.98E-06,5.38E-08,6.53E-10,8.91E-12,4.85E-14,2.75E-16,7.17E-18,4.13E-19
4.23E-05,1.79E-02,5.22E-01,9.61E-01,9.95E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.16E-01,9.50E-01,9.92E-01,9.57E-01,3.99E-01,1.71E-02,1.28E-04,4.67E-06,2.25E-07,3.53E-08,2.10E-08,2.21E-08
2.90E-04,1.89E-04,1.80E-04,5.69E-06,1.60E-08,7.62E-11,2.59E-12,4.51E-13,7.82E-13,3.33E-12,5.73E-11,2.21E-09
1.10E-07,1.53E-06,3.48E-06,1.37E-07,4.68E-11,8.71E-15,1.88E-18,1.73E-21,1.34E-24,2.94E-27,1.02E-29,9.11E-32
6.93E-06,2.59E-03,7.42E-02,1.94E-01,7.52E-02,3.79E-02,4.32E-03,6.32E-04,1.82E-04,1.07E-04,4.97E-05,8.25E-06
1.00E+00,1.00E+00,1.00E+00,9.92E-01,8.45E-01,1.74E-01,2.79E-03,3.85E-06,2.57E-09,1.59E-12,1.67E-15,6.78E-18
5.43E-08,2.27E-07,3.54E-07,3.69E-07,1.57E-08,6.86E-10,6.69E-11,3.11E-11,9.01E-12,6.93E-13,8.41E-14,6.47E-15
2.26E-01,1.14E-01,5.65E-03,5.39E-05,2.65E-06,2.66E-07,4.35E-08,3.59E-08,1.22E-08,6.76E-09,1.94E-09,4.94E-10
9.55E-01,9.52E-01,5.45E-01,8.88E-03,9.54E-07,1.11E-11,1.06E-14,2.19E-16,1.45E-17,1.96E-18,4.10E-19,1.38E-19
4.75E-05,1.68E-01,9.65E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.99E-01,9.98E-01,9.95E-01
1.94E-01,8.71E-01,3.69E-01,1.04E-02,3.26E-05,3.79E-08,4.18E-11,7.43E-14,1.84E-16,8.25E-19,6.18E-21,2.20E-22
1.00E+00,9.90E-01,7.18E-01,1.46E-01,2.31E-02,3.70E-02,4.12E-02,6.15E-02,7.76E-02,4.78E-01,9.21E-01,9.96E-01
5.24E-05,6.25E-05,7.09E-06,1.22E-07,1.74E-10,2.13E-13,7.98E-16,2.05E-18,2.94E-20,6.88E-21,2.16E-21,9.24E-22
6.73E-03,2.42E-01,7.63E-01,9.14E-01,9.26E-01,8.25E-01,7.11E-01,7.59E-01,7.77E-01,6.37E-01,2.25E-01,1.59E-02
1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.98E-01,9.89E-01,9.63E-01,9.41E-01,8.39E-01
9.99E-01,9.95E-01,9.88E-01,9.63E-01,8.44E-01,3.84E-01,2.18E-03,2.05E-06,1.40E-08,6.82E-11,1.22E-12,4.73E-14
9.93E-01,9.17E-01,8.61E-01,7.79E-01,2.37E-01,4.40E-02,1.58E-02,1.56E-02,3.92E-02,2.04E-01,7.00E-01,8.90E-01
6.68E-01,2.99E-01,2.92E-03,7.79E-06,1.27E-09,3.94E-13,8.95E-16,6.12E-18,3.55E-19,4.69E-20,1.45E-20,1.10E-20
2.00E-01,3.78E-01,5.75E-01,6.25E-01,4.82E-01,2.16E-01,1.48E-02,3.19E-03,1.62E-03,1.73E-03,3.71E-03,1.55E-02
6.28E-01,1.62E-01,4.23E-03,1.61E-04,6.00E-06,1.90E-07,3.64E-09,1.94E-10,1.93E-11,3.99E-12,5.89E-12,3.16E-11
4.56E-01,8.69E-01,8.39E-01,1.12E-01,7.23E-05,1.10E-07,2.15E-10,1.01E-12,2.50E-14,8.82E-16,3.53E-17,7.47E-19
3.33E-02,7.41E-03,4.58E-04,2.23E-04,2.34E-04,2.26E-03,6.18E-02,6.45E-01,9.85E-01,1.00E+00,1.00E+00,1.00E+00
1.51E-05,5.58E-02,6.09E-01,4.61E-01,6.45E-02,2.02E-03,1.47E-04,2.62E-05,2.43E-07,4.85E-10,2.71E-13,1.95E-16
9.86E-01,9.68E-01,9.89E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
3.52E-03,5.86E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
1.79E-06,1.34E-01,9.58E-01,8.97E-01,4.65E-01,1.20E-01,1.82E-02,2.50E-03,9.96E-05,6.18E-06,2.78E-07,4.43E-08
2.89E-03,1.26E-02,2.62E-02,1.62E-02,2.99E-03,7.56E-04,9.97E-04,4.50E-03,8.90E-02,4.95E-01,8.39E-01,9.37E-01
3.38E-02,4.62E-04,4.55E-05,9.80E-06,1.29E-06,2.27E-08,4.24E-10,8.18E-12,2.63E-14,4.40E-16,1.55E-17,4.94E-19
1.00E+00,1.00E+00,9.99E-01,7.73E-01,1.45E-01,8.64E-02,2.50E-01,6.67E-01,8.38E-01,9.22E-01,9.35E-01,8.77E-01
4.01E-06,4.52E-06,2.17E-07,7.17E-11,4.16E-14,6.98E-16,7.90E-17,4.52E-17,8.28E-17,2.36E-16,6.93E-16,1.14E-15
9.92E-01,8.29E-01,7.02E-01,7.49E-01,8.43E-01,7.02E-01,6.40E-01,2.18E-01,4.77E-02,4.42E-02,2.39E-01,4.49E-01
1.00E+00,8.70E-01,1.16E-02,2.56E-07,2.26E-10,4.90E-12,8.45E-14,4.41E-16,1.94E-18,3.89E-20,2.10E-21,5.09E-22
5.67E-01,9.91E-01,9.95E-01,9.98E-01,9.99E-01,9.99E-01,9.97E-01,9.89E-01,9.57E-01,7.58E-01,1.39E-01,2.85E-03
7.65E-04,1.02E-03,5.40E-03,2.60E-02,1.10E-02,1.89E-03,1.94E-04,4.75E-05,2.19E-05,4.84E-06,3.71E-07,4.18E-08
5.36E-01,2.07E-01,2.90E-06,5.70E-11,3.05E-13,6.35E-15,3.49E-15,8.37E-15,1.46E-13,1.55E-12,1.10E-11,8.80E-11
